city,country,lat,lon,season_aegypti_1991_2020,season_albopictus_1991_2020,season_aegypti_1961_1990,season_albopictus_1961_1990,delta_aegypti,delta_albopictus,abs_lat,temp_mean_c
Qingyuan,China,23.682,113.056,8,7,7,7,1,0,23.682,21.638333333333335
Qingzhou,China,36.6853,118.4796,5,4,5,4,0,0,36.6853,13.806666666666667
Qinhuangdao,China,39.8882,119.5202,4,4,3,4,1,0,39.8882,10.352500000000001
Qinzhou,China,21.981,108.654,9,9,9,9,0,0,21.981,23.02333333333333
Qionghu,China,28.945,112.598,6,5,6,5,0,0,28.945,18.131666666666664
Qiqihar,China,47.3549,123.9182,3,4,3,3,0,1,47.3549,4.4783333333333335
Qom,Iran,34.64,50.8764,2,0,0,0,2,0,34.64,20.399166666666666
Quanzhou,China,24.8744,118.6757,8,7,8,7,0,0,24.8744,21.604166666666668
Quebec City,Canada,46.8139,-71.2081,2,3,1,3,1,0,46.8139,5.385000000000001
Queens,United States,40.7498,-73.7976,4,4,4,4,0,0,40.7498,12.4125
Querétaro,Mexico,20.5875,-100.3928,6,9,3,8,3,1,20.5875,18.1775
Quetta,Pakistan,30.1833,67.0,2,3,2,3,0,0,30.1833,16.19333333333333
Quezon City,Philippines,14.65,121.0475,12,12,12,12,0,0,14.65,27.545
Qufu,China,35.5819,116.9862,5,4,5,4,0,0,35.5819,14.398333333333333
Quito,Ecuador,-0.22,-78.5125,0,0,0,0,0,0,0.22,12.8775
Qujing,China,25.491,103.796,4,5,3,5,1,0,25.491,14.935
Quzhou,China,28.9702,118.8593,6,5,5,4,1,1,28.9702,17.639166666666664
Rabat,Morocco,34.0209,-6.8416,6,4,5,4,1,0,34.0209,18.391666666666666
Raipur,India,21.2444,81.6306,10,8,9,8,1,0,21.2444,26.74666666666667
Raleigh,United States,35.8324,-78.6429,5,4,5,4,0,0,35.8324,16.165
Rangapukur,Bangladesh,25.5206,89.2147,11,5,10,6,1,-1,25.5206,24.974999999999998
Rangoon,Burma,16.795,96.16,12,12,12,12,0,0,16.795,27.700833333333332
Rasht,Iran,37.2744,49.5889,5,4,4,4,1,0,37.2744,15.719999999999999
Raurkela,India,22.2492,84.8828,10,9,10,9,0,0,22.2492,25.8475
Rawalpindi,Pakistan,33.6,73.0333,6,2,6,3,0,-1,33.6,21.65833333333333
Recife,Brazil,-8.0539,-34.8808,12,12,12,12,0,0,8.0539,25.891666666666666
Renqiu,China,38.686,116.084,5,4,5,4,0,0,38.686,13.990833333333333
Reynosa,Mexico,26.0922,-98.2778,10,5,9,5,1,0,26.0922,24.079166666666666
Ribeirão Prêto,Brazil,-21.1776,-47.8101,12,12,12,12,0,0,21.1776,22.99083333333333
Richmond,United States,37.5295,-77.4756,5,4,5,4,0,0,37.5295,15.179166666666667
Riga,Latvia,56.9475,24.1069,0,3,0,2,0,1,56.9475,7.504166666666666
Rio de Janeiro,Brazil,-22.9111,-43.2056,12,12,12,12,0,0,22.9111,23.876666666666665
Riverside,United States,33.9381,-117.3949,5,4,4,4,1,0,33.9381,17.36916666666667
Riyadh,Saudi Arabia,24.65,46.71,2,0,0,0,2,0,24.65,26.396666666666665
Rizhao,China,35.417,119.527,4,4,4,4,0,0,35.417,13.546666666666667
Rochester,United States,43.168,-77.6162,2,3,2,3,0,0,43.168,9.284166666666666
Rome,Italy,41.8931,12.4828,4,4,4,4,0,0,41.8931,15.6925
Rongcheng,China,26.218,104.103,3,4,2,4,1,0,26.218,13.714166666666666
Rongjiawan,China,29.15,113.1024,6,5,6,5,0,0,29.15,18.07
Rosario,Argentina,-32.9575,-60.6394,5,4,5,4,0,0,32.9575,17.7075
Rostov,Russia,47.2225,39.71,3,4,3,4,0,0,47.2225,10.481666666666667
Rotterdam,Netherlands,51.92,4.48,0,3,0,2,0,1,51.92,10.64
Rucheng,China,32.246,120.591,5,4,5,4,0,0,32.246,15.995833333333335
Ruiming,China,25.886,116.027,7,6,7,6,0,0,25.886,19.639166666666668
Rui’an,China,27.7833,120.625,6,5,6,4,0,1,27.7833,18.92833333333333
Rustenburg,South Africa,-25.6667,27.2428,6,6,6,5,0,1,25.6667,18.75583333333333
Ryazan,Russia,54.63,39.7425,1,3,1,3,0,0,54.63,6.164166666666667
Rājkot,India,22.3,70.7833,10,9,10,8,0,1,22.3,26.599166666666665
Rānchi,India,23.36,85.33,8,8,8,6,0,2,23.36,23.541666666666668
Sacramento,United States,38.5677,-121.4685,5,4,4,4,1,0,38.5677,16.843333333333334
Sagamihara,Japan,35.5667,139.3667,4,4,4,4,0,0,35.5667,14.308333333333332
Sahāranpur,India,29.9639,77.5458,7,2,6,2,1,0,29.9639,23.371666666666666
Saint Petersburg,Russia,59.9375,30.3086,0,2,0,1,0,1,59.9375,5.1433333333333335
Saitama,Japan,35.8614,139.6456,5,4,4,4,1,0,35.8614,15.844999999999999
Sakai,Japan,34.5733,135.4831,5,4,4,4,1,0,34.5733,16.4575
Sale,Morocco,34.0333,-6.8,6,4,5,4,1,0,34.0333,18.391666666666666
Salem,India,11.65,78.15,12,12,12,11,0,1,11.65,26.511666666666667
Salt Lake City,United States,40.7776,-111.9311,3,3,2,3,1,0,40.7776,10.655833333333334
Salta,Argentina,-24.7833,-65.4167,0,4,0,4,0,0,24.7833,13.847499999999998
Saltillo,Mexico,25.4231,-100.9919,6,5,5,5,1,0,25.4231,17.616666666666667
Salvador,Brazil,-12.9831,-38.4928,12,12,12,12,0,0,12.9831,25.551666666666666
Salīmpur,India,26.3,83.9167,8,2,8,2,0,0,26.3,25.544166666666666
Samara,Russia,53.2028,50.1408,3,4,2,3,1,1,53.2028,5.59
Samarinda,Indonesia,-0.5,117.1378,12,12,12,12,0,0,0.5,26.810833333333335
Samarkand,Uzbekistan,39.6547,66.9758,5,4,3,4,2,0,39.6547,13.404166666666667
Samsun,Turkey,41.2903,36.3336,3,3,2,3,1,0,41.2903,12.719166666666666
San Antonio,United States,29.4632,-98.5238,7,5,7,5,0,0,29.4632,20.57166666666667
San Diego,United States,32.8313,-117.1222,5,4,4,4,1,0,32.8313,17.018333333333334
San Francisco,United States,37.7558,-122.4449,0,1,0,0,0,1,37.7558,13.225833333333334
San Jose,United States,37.3012,-121.848,3,3,2,3,1,0,37.3012,14.201666666666666
San Jose del Monte,Philippines,14.8139,121.0453,12,12,12,12,0,0,14.8139,27.545
