city,country,lat,lon,season_aegypti_1991_2020,season_albopictus_1991_2020,season_aegypti_1961_1990,season_albopictus_1961_1990,delta_aegypti,delta_albopictus,abs_lat,temp_mean_c
Thủ Đức,Vietnam,10.8266,106.7609,12,12,12,12,0,0,10.8266,27.633333333333336
Tianchang,China,32.6811,119.0137,5,4,5,4,0,0,32.6811,15.920833333333334
Tianjin,China,39.1336,117.2054,5,4,5,4,0,0,39.1336,13.545
Tieling,China,42.2237,123.726,3,4,3,4,0,0,42.2237,8.458333333333334
Tijuana,Mexico,32.525,-117.0333,3,4,3,4,0,0,32.525,16.517500000000002
Tilburg,Netherlands,51.5572,5.0911,0,3,0,3,0,0,51.5572,10.774166666666666
Tiruppūr,India,11.1085,77.3411,12,11,12,11,0,0,11.1085,27.123333333333335
Tlalnepantla,Mexico,19.5367,-99.1947,0,5,0,3,0,2,19.5367,14.706666666666665
Tlaquepaque,Mexico,20.6167,-103.3167,8,12,8,12,0,0,20.6167,20.410833333333333
Tokyo,Japan,35.687,139.7495,5,4,4,4,1,0,35.687,15.844999999999999
Toluca,Mexico,19.2925,-99.6569,0,0,0,0,0,0,19.2925,12.575833333333334
Tolyatti,Russia,53.5089,49.4222,3,3,1,3,2,0,53.5089,5.509166666666666
Tomsk,Russia,56.5,84.9667,1,3,0,2,1,1,56.5,1.0683333333333331
Tonalá,Mexico,20.6167,-103.2333,8,12,8,12,0,0,20.6167,20.410833333333333
Tondo,Philippines,14.617,120.967,12,12,12,12,0,0,14.617,27.90416666666667
Tongchuan,China,34.897,108.945,4,4,3,4,1,0,34.897,12.741666666666667
Tongjin,"Korea, South",37.2333,127.2,4,4,4,4,0,0,37.2333,12.183333333333332
Tongliao,China,43.654,122.243,3,4,3,4,0,0,43.654,7.911666666666666
Tongling,China,30.9456,117.8114,5,4,5,4,0,0,30.9456,17.06416666666667
Tongren,China,27.7316,109.1895,5,5,5,5,0,0,27.7316,16.592499999999998
Tongshan,China,34.261,117.1859,5,4,5,4,0,0,34.261,15.076666666666666
Toronto,Canada,43.7417,-79.3733,2,3,2,3,0,0,43.7417,8.280833333333332
Touba,Senegal,14.8667,-15.8833,9,9,9,8,0,1,14.8667,27.3475
Toulouse,France,43.6045,1.444,4,4,2,3,2,1,43.6045,13.816666666666668
Trichinopoly,India,10.7903,78.7047,10,7,9,8,1,-1,10.7903,29.2825
Tripoli,Libya,32.8872,13.1914,7,4,7,4,0,0,32.8872,20.311666666666667
Trujillo,Peru,-8.112,-79.0288,8,12,8,12,0,0,8.112,20.059166666666666
Tshikapa,Congo (Kinshasa),-6.4167,20.8,12,12,12,12,0,0,6.4167,25.253333333333334
Tucson,United States,32.1541,-110.8787,1,0,3,1,-2,-1,32.1541,20.98
Tulsa,United States,36.1283,-95.9042,5,4,5,4,0,0,36.1283,16.034166666666668
Tultitlán de Mariano Escobedo,Mexico,19.645,-99.1694,1,7,0,6,1,1,19.645,16.041666666666668
Tumkūr,India,13.34,77.1,12,12,12,12,0,0,13.34,24.166666666666668
Tunis,Tunisia,36.8064,10.1817,6,4,5,4,1,0,36.8064,18.898333333333333
Turin,Italy,45.0792,7.6761,4,4,3,4,1,0,45.0792,13.045833333333334
Turpan,China,42.9512,89.1895,1,1,1,1,0,0,42.9512,13.89
Tuticorin,India,8.8056,78.145,12,12,12,12,0,0,8.8056,27.41
Tuxtla,Mexico,16.7528,-93.1167,12,12,11,12,1,0,16.7528,21.853333333333335
Tyumen,Russia,57.15,65.5333,1,3,1,3,0,0,57.15,2.1483333333333334
Tân An,Vietnam,10.905,106.6994,12,12,12,12,0,0,10.905,27.644166666666667
Uberlândia,Brazil,-18.9189,-48.2769,12,12,12,12,0,0,18.9189,22.486666666666668
Ubungo,Tanzania,-6.7889,39.2056,12,12,12,12,0,0,6.7889,25.97
Ufa,Russia,54.7261,55.9475,1,3,1,3,0,0,54.7261,4.349166666666666
Ujjain,India,23.17,75.79,8,6,7,6,1,0,23.17,25.397499999999997
Ulaanbaatar,Mongolia,47.9214,106.9055,0,1,0,1,0,0,47.9214,-1.6624999999999999
Ulhāsnagar,India,19.22,73.15,12,12,12,12,0,0,19.22,26.855
Ulsan,"Korea, South",35.55,129.3167,4,4,4,4,0,0,35.55,14.36
Ulyanovsk,Russia,54.3167,48.3667,1,3,1,3,0,0,54.3167,5.359166666666667
Umraniye,Turkey,41.0311,29.1081,4,4,4,4,0,0,41.0311,14.866666666666667
Utsunomiya,Japan,36.555,139.8825,4,4,4,4,0,0,36.555,14.7475
Uvira,Congo (Kinshasa),-3.4,29.15,12,12,12,12,0,0,3.4,23.868333333333336
Uyo,Nigeria,5.0333,7.9275,12,12,12,12,0,0,5.0333,26.160833333333333
Vadodara,India,22.3,73.2,9,9,9,8,0,1,22.3,27.45583333333333
Valencia,Spain,39.47,-0.3764,6,4,4,4,2,0,39.47,17.531666666666666
Valencia,Venezuela,10.1833,-68.0,12,12,12,12,0,0,10.1833,23.355
Valenzuela,Philippines,14.7,120.98,12,12,12,12,0,0,14.7,27.545
Valledupar,Colombia,10.4833,-73.25,12,12,12,12,0,0,10.4833,23.756666666666664
Van,Turkey,38.4942,43.38,2,3,2,3,0,0,38.4942,7.8675
Vancouver,Canada,49.25,-123.1,0,2,0,2,0,0,49.25,9.6075
Vasai-Virar,India,19.47,72.8,12,12,12,12,0,0,19.47,26.7375
Vienna,Austria,48.2083,16.3725,3,4,2,3,1,1,48.2083,10.4975
Vientiane,Laos,17.98,102.63,12,12,12,12,0,0,17.98,26.525833333333335
Vijayavāda,India,16.5193,80.6305,11,11,11,11,0,0,16.5193,28.406666666666666
Villavicencio,Colombia,4.15,-73.6333,1,12,0,12,1,0,4.15,18.107499999999998
Vilnius,Lithuania,54.6872,25.28,0,3,0,3,0,0,54.6872,7.04
Vinh,Vietnam,18.6667,105.6667,11,12,11,12,0,0,18.6667,25.144166666666667
Virginia Beach,United States,36.7335,-76.0435,5,4,4,4,1,0,36.7335,15.821666666666665
Vishākhapatnam,India,17.7042,83.2978,12,12,12,12,0,0,17.7042,27.36
Vladivostok,Russia,43.115,131.8853,1,2,1,2,0,0,43.115,6.1258333333333335
Volgograd,Russia,48.7086,44.5147,3,4,3,4,0,0,48.7086,9.065
Voronezh,Russia,51.6717,39.2106,3,4,1,3,2,1,51.6717,7.405
Vārānasi,India,25.3189,83.0128,7,2,7,3,0,-1,25.3189,25.986666666666665
Wafangdian,China,39.6271,121.9796,4,4,3,4,1,0,39.6271,10.35
Wancheng,China,18.8,110.4,12,12,12,12,0,0,18.8,25.325
Warangal,India,17.9689,79.5941,10,9,9,9,1,0,17.9689,27.564999999999998
Warsaw,Poland,52.23,21.0111,2,3,0,3,2,0,52.23,8.953333333333333
Washington,United States,38.9047,-77.0163,4,4,4,4,0,0,38.9047,13.841666666666667
Weichanglu,China,37.1792,119.9333,5,4,4,4,1,0,37.1792,13.275
Weifang,China,36.708,119.162,5,4,5,4,0,0,36.708,13.714166666666666
Weihai,China,37.5133,122.1205,4,3,4,3,0,0,37.5133,12.545
Weinan,China,34.5206,109.471,5,4,5,4,0,0,34.5206,15.246666666666668
Wenchang,China,31.0358,116.9367,5,4,5,4,0,0,31.0358,16.433333333333334
Wencheng,China,19.617,110.7551,12,12,12,12,0,0,19.617,25.09166666666667
Wenlan,China,23.3961,103.3649,6,6,6,6,0,0,23.3961,17.92833333333333
Wenling,China,28.3667,121.3667,6,5,6,4,0,1,28.3667,18.916666666666668
Wenzhou,China,27.9938,120.6993,6,5,6,4,0,1,27.9938,18.4825
Wichita,United States,37.6895,-97.3443,5,4,5,4,0,0,37.6895,13.920833333333334
Winnipeg,Canada,49.8844,-97.1464,2,3,2,3,0,0,49.8844,3.1541666666666663
Wrocław,Poland,51.11,17.0325,2,3,0,3,2,0,51.11,9.585833333333333
Wuchang,China,44.924,127.158,3,3,3,3,0,0,44.924,4.680833333333333
Wuchuan,China,21.441,110.779,9,12,9,11,0,1,21.441,23.903333333333336
Wugang,China,26.7266,110.6319,5,5,5,5,0,0,26.7266,17.1375
Wuhai,China,39.655,106.794,3,4,3,4,0,0,39.655,9.221666666666666
Wuhan,China,30.5934,114.3046,6,4,5,4,1,0,30.5934,17.826666666666668
Wuhu,China,31.3526,118.4331,5,4,5,4,0,0,31.3526,17.029166666666665
Wusong,China,30.945,117.811,5,4,5,4,0,0,30.945,17.06416666666667
Wutong,China,30.6333,120.5333,6,4,5,4,1,0,30.6333,17.290833333333335
Wuwei,China,37.929,102.638,3,4,3,4,0,0,37.929,9.008333333333335
Wuxi,China,31.5667,120.2833,6,4,5,4,1,0,31.5667,16.960833333333333
Wuxue,China,29.844,115.561,6,4,5,4,1,0,29.844,17.5225
Wuzhong,China,37.9978,106.1986,3,4,3,4,0,0,37.9978,11.155833333333334
Wuzhou,China,23.4767,111.279,8,8,8,7,0,1,23.4767,22.218333333333334
Wu’an,China,36.697,114.204,5,4,5,4,0,0,36.697,13.903333333333334
Xiamen,China,24.4796,118.0889,8,7,8,7,0,0,24.4796,21.520833333333332
Xiangtan,China,27.8313,112.9454,7,5,6,5,1,0,27.8313,18.67833333333333
Xiangxiang,China,27.7186,112.5502,6,5,6,5,0,0,27.7186,18.1675
Xiangyang,China,32.01,112.122,5,4,5,4,0,0,32.01,16.515833333333333
Xiantao,China,30.328,113.443,6,4,5,4,1,0,30.328,17.535
Xianyang,China,34.3299,108.7088,5,4,5,4,0,0,34.3299,14.964999999999998
Xiaoganzhan,China,30.918,113.957,5,4,5,4,0,0,30.918,16.980833333333333
Xiaoxita,China,30.692,111.287,5,4,5,4,0,0,30.692,16.555
Xiashi,China,30.5333,120.6833,6,4,6,4,0,0,30.5333,17.438333333333333
Xibeijie,China,39.7334,98.4943,3,4,2,3,1,1,39.7334,8.100833333333334
Xichang,China,27.8944,102.2644,3,4,2,4,1,0,27.8944,13.433333333333332
Xigazê,China,29.25,88.8833,0,0,0,0,0,0,29.25,5.62
Ximeicun,China,24.9612,118.3849,8,6,7,6,1,0,24.9612,21.56
Xindi,China,29.827,113.476,6,5,5,4,1,1,29.827,17.870833333333334
Xingcheng,China,24.1347,115.73,8,7,7,7,1,0,24.1347,21.614166666666666
Xingtai,China,37.0717,114.5048,5,4,5,4,0,0,37.0717,14.380833333333333
Xingyi,China,25.092,104.8955,6,6,6,6,0,0,25.092,18.031666666666666
Xinhualu,China,34.3964,113.7402,5,4,5,4,0,0,34.3964,15.381666666666668
Xining,China,36.6224,101.7804,0,1,0,0,0,1,36.6224,4.1674999999999995
Xinji,China,37.943,115.218,5,4,5,4,0,0,37.943,14.424999999999999
Xinmin,China,41.997,122.823,3,4,3,4,0,0,41.997,9.15
Xinpu,China,34.5966,119.2214,5,4,5,4,0,0,34.5966,14.74
Xinshi,China,31.1333,113.1167,5,4,5,4,0,0,31.1333,16.305
Xintai,China,35.909,117.768,5,4,4,4,1,0,35.909,12.854999999999999
Xinxing,China,39.8667,124.15,3,3,3,3,0,0,39.8667,10.2775
Xinyang,China,32.149,114.091,5,4,5,4,0,0,32.149,15.667499999999999
Xinyi,China,22.3549,110.9468,8,9,8,9,0,0,22.3549,21.605833333333333
Xinyu,China,27.8186,114.9167,7,5,6,5,1,0,27.8186,18.896666666666665
Xinzhou,China,38.416,112.734,3,4,3,4,0,0,38.416,9.226666666666667
Xin’an,China,34.286,118.355,5,4,5,4,0,0,34.286,14.954166666666666
Xiping,China,25.6005,103.8166,4,5,3,5,1,0,25.6005,14.935
Xishan,China,27.6461,113.497,7,5,6,5,1,0,27.6461,18.609166666666667
Xi’an,China,34.2611,108.9422,5,4,5,4,0,0,34.2611,14.9625
Xuanzhou,China,30.939,118.759,5,4,5,4,0,0,30.939,16.934166666666666
Xushan,China,30.1667,121.2333,6,4,6,4,0,0,30.1667,17.7275
Yancheng,China,33.35,120.1569,5,4,5,4,0,0,33.35,15.403333333333334
Yangchun,China,22.1704,111.7916,8,9,8,9,0,0,22.1704,21.956666666666667
Yanggok,"Korea, South",37.6333,127.2167,4,4,4,4,0,0,37.6333,11.125833333333334
Yangjiang,China,21.857,111.983,9,11,9,9,0,2,21.857,23.474999999999998
Yangquan,China,37.8571,113.5804,3,4,3,4,0,0,37.8571,9.320833333333333
Yangshe,China,31.8767,120.556,5,4,5,4,0,0,31.8767,16.330000000000002
Yangzhou,China,32.3944,119.4128,5,4,5,4,0,0,32.3944,16.0075
Yanji,China,42.9,129.5,2,3,2,3,0,0,42.9,5.510833333333333
Yanjiang,China,30.129,104.627,6,5,5,5,1,0,30.129,18.063333333333333
Yantai,China,37.4646,121.4478,4,4,4,4,0,0,37.4646,12.7875
Yan’an,China,36.65,109.494,3,4,3,4,0,0,36.65,10.314166666666667
Yaoundé,Cameroon,3.8667,11.5167,12,12,12,12,0,0,3.8667,23.326666666666668
Yaroslavl,Russia,57.6167,39.85,1,3,0,3,1,0,57.6167,4.795833333333333
Yatou,China,37.1653,122.4867,4,4,4,3,0,1,37.1653,12.583333333333334
Yazd,Iran,31.8822,54.3397,0,1,0,1,0,0,31.8822,18.669166666666666
Yekaterinburg,Russia,56.8356,60.6128,0,3,0,2,0,1,56.8356,2.4099999999999997
Yenimahalle,Turkey,39.9719,32.8119,3,4,3,3,0,1,39.9719,11.808333333333332
Yerevan,Armenia,40.1814,44.5144,3,3,2,3,1,0,40.1814,9.413333333333332
Yibin,China,28.752,104.643,7,5,6,5,1,0,28.752,18.57166666666667
Yicheng,China,31.36,119.815,5,4,5,4,0,0,31.36,16.760833333333334
Yichun,China,27.816,114.417,6,5,6,5,0,0,27.816,17.99
Yinchuan,China,38.485,106.225,3,4,3,4,0,0,38.485,10.030833333333334
Yingcheng,China,24.21,113.401,7,7,7,7,0,0,24.21,21.2025
Yingchuan,China,34.142,113.489,5,4,5,4,0,0,34.142,15.103333333333333
Yingkou,China,40.625,122.219,4,4,4,4,0,0,40.625,10.305833333333332
Yingtan,China,28.2721,117.0395,7,5,6,5,1,0,28.2721,19.4325
Yiwu,China,29.3069,120.0753,6,5,5,4,1,1,29.3069,18.059166666666666
Yiyang,China,28.5549,112.356,6,5,5,5,1,0,28.5549,17.843333333333334
Yokohama,Japan,35.4442,139.6381,5,4,4,4,1,0,35.4442,16.194166666666668
Yongcheng,China,33.9299,116.45,5,4,5,4,0,0,33.9299,15.375
Yongzhou,China,26.42,111.613,7,5,6,5,1,0,26.42,18.781666666666666
Yopougon,Côte d’Ivoire,5.3748,-4.0867,12,12,12,12,0,0,5.3748,26.04416666666667
Yucheng,China,30.01,103.0415,5,4,4,4,1,0,30.01,14.635833333333332
Yuci,China,37.6823,112.7281,3,4,3,4,0,0,37.6823,10.5825
Yueyang,China,29.3647,113.1309,6,5,5,4,1,1,29.3647,17.828333333333333
Yuhuan,China,28.1277,121.2288,6,5,6,4,0,1,28.1277,18.916666666666668
Yukarıkaraman,Turkey,36.9167,30.6833,5,2,5,2,0,0,36.9167,18.4025
Yulin,China,22.654,110.181,8,9,8,9,0,0,22.654,21.930833333333336
Yulinshi,China,38.2858,109.7341,3,4,3,4,0,0,38.2858,9.669166666666667
Yuncheng,China,35.0267,111.007,5,4,5,4,0,0,35.0267,14.410833333333334
Yunfu,China,22.9152,112.0445,8,9,8,8,0,1,22.9152,22.121666666666666
Yushan,China,31.322,120.985,6,4,5,4,1,0,31.322,16.970000000000002
Yushu,China,44.826,126.55,3,4,3,3,0,1,44.826,5.4025
Yutan,China,28.278,112.552,6,5,5,5,1,0,28.278,18.003333333333334
Yuxi,China,24.347,102.527,6,6,5,5,1,1,24.347,17.089166666666667
Yuyao,China,30.05,121.15,6,4,5,4,1,0,30.05,17.388333333333332
Yıldırım,Turkey,40.11,29.0821,2,3,2,3,0,0,40.11,11.4125
Zagreb,Croatia,45.8131,15.9772,3,4,3,4,0,0,45.8131,11.951666666666668
Zamboanga City,Philippines,6.9042,122.0761,12,12,12,12,0,0,6.9042,26.290000000000003
Zaoyang,China,32.129,112.772,5,4,5,4,0,0,32.129,16.31
Zaozhuang,China,34.8109,117.3238,5,4,5,4,0,0,34.8109,14.863333333333335
Zapopan,Mexico,20.7167,-103.4,9,12,8,11,1,1,20.7167,20.671666666666667
Zaporizhzhia,Ukraine,47.85,35.1175,3,4,3,4,0,0,47.85,10.345
Zaragoza,Spain,41.65,-0.8833,5,4,4,4,1,0,41.65,16.064166666666665
Zhangjiajie,China,29.117,110.479,5,4,5,4,0,0,29.117,16.0025
Zhangjiakou,China,40.769,114.886,3,4,3,4,0,0,40.769,7.679166666666667
Zhangye,China,38.9248,100.4499,3,4,2,3,1,1,38.9248,8.281666666666666
Zhangzhou,China,24.513,117.647,8,7,7,7,1,0,24.513,21.742500000000003
Zhanjiang,China,21.2701,110.3575,9,12,9,11,0,1,21.2701,23.900833333333335
Zhaodong,China,46.051,125.962,3,4,3,3,0,1,46.051,4.803333333333334
Zhaoqing,China,23.05,112.4667,8,9,8,8,0,1,23.05,22.489166666666666
Zhaotong,China,27.338,103.717,2,4,2,4,0,0,27.338,12.092500000000001
Zhengzhou,China,34.764,113.684,5,4,5,4,0,0,34.764,15.410000000000002
Zhenjiang,China,32.188,119.424,5,4,5,4,0,0,32.188,16.179166666666667
Zhenzhou,China,32.2723,119.1848,5,4,5,4,0,0,32.2723,16.1275
Zhongba,China,31.771,104.755,5,4,5,4,0,0,31.771,15.908333333333333
Zhongshan,China,22.517,113.3925,9,9,9,9,0,0,22.517,23.435833333333335
Zhongshu,China,27.7919,106.4013,5,4,5,4,0,0,27.7919,15.091666666666667
Zhongwei,China,37.5002,105.1968,3,4,3,4,0,0,37.5002,10.865833333333335
Zhongxiang,China,31.168,112.588,5,4,5,4,0,0,31.168,16.895833333333332
Zhoukou,China,33.6367,114.7014,5,4,5,4,0,0,33.6367,15.743333333333332
Zhoushan,China,29.9856,122.2074,6,4,5,4,1,0,29.9856,17.220833333333335
Zhuanghe,China,39.681,122.967,4,4,4,4,0,0,39.681,10.335
Zhufeng,China,36.0,119.4167,5,4,4,4,1,0,36.0,13.466666666666667
Zhuhai,China,22.2742,113.5719,9,10,9,9,0,1,22.2742,23.355
Zhuji,China,29.7167,120.2333,6,4,5,4,1,0,29.7167,17.461666666666666
Zhumadian,China,33.014,114.022,5,4,5,4,0,0,33.014,15.874166666666667
Zhuozhou,China,39.485,115.974,5,4,5,4,0,0,39.485,13.163333333333334
Zhuzhou,China,27.829,113.133,7,5,6,5,1,0,27.829,18.72
Zibo,China,36.8138,118.055,5,4,5,4,0,0,36.8138,13.674999999999999
Zigong,China,29.339,104.779,7,5,6,5,1,0,29.339,18.558333333333334
Zijinglu,China,34.7667,112.9667,5,4,5,4,0,0,34.7667,14.679166666666667
Zouping,China,36.863,117.743,5,4,5,4,0,0,36.863,13.49
Zunhua,China,40.189,117.966,4,4,3,4,1,0,40.189,10.716666666666667
Zunyi,China,27.722,107.031,5,4,5,4,0,0,27.722,15.3825
Zāhedān,Iran,29.5025,60.8558,0,0,0,1,0,-1,29.5025,18.9375
Çankaya,Turkey,39.9244,32.8856,3,4,2,3,1,1,39.9244,11.370833333333332
Ürümqi,China,43.8225,87.6125,3,4,3,3,0,1,43.8225,6.861666666666667
Āgra,India,27.18,78.02,6,2,6,2,0,0,27.18,25.22
Āqchah,Afghanistan,36.9114,66.1858,2,0,2,1,0,-1,36.9114,19.000833333333333
Āsansol,India,23.68,86.99,10,9,9,7,1,2,23.68,25.465
İzmir,Turkey,38.42,27.14,5,4,4,4,1,0,38.42,16.486666666666668
Łódź,Poland,51.7769,19.4547,2,3,0,3,2,0,51.7769,8.830833333333333
Ōsaka,Japan,34.6939,135.5022,6,4,4,4,2,0,34.6939,16.530833333333334
Ōta-ku,Japan,35.5614,139.7161,5,4,4,4,1,0,35.5614,16.194166666666668
Şanlıurfa,Turkey,37.1583,38.7917,3,1,2,1,1,0,37.1583,17.705833333333334
Ţūkh,Egypt,30.3549,31.2011,8,5,8,5,0,0,30.3549,22.180833333333336
Ḩalwān,Egypt,29.8493,31.3327,6,2,7,4,-1,-2,29.8493,22.55666666666667
Ḩamāh,Syria,35.1503,36.73,6,4,6,4,0,0,35.1503,18.662499999999998
