species,lat,lon,year,country_name,iso3,source_type,location_type,source,is_point
Ae. aegypti,6.99,-58.43,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,7.0,-58.5,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,7.1,-58.49,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,7.45,-58.6,1963,Guyana,GUY,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,17.8,-77.24,1963,Jamaica,JAM,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,17.99,-76.8,1963,Jamaica,JAM,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.75,100.52,1964,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,18.36,-66.11,1964,Puerto Rico,PRI,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,22.59,88.31,1964,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-20.08,146.26,1965,Australia,AUS,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-17.54,-149.55,1965,French Polynesia,PYF,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,4.64,9.44,1965,Cameroon,CMR,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,4.64,9.44,1965,Cameroon,CMR,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,5.88,-4.82,1965,C?te d'Ivoire,CIV,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,6.59,3.35,1965,Nigeria,NGA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,11.56,104.92,1965,Cambodia,KHM,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.08,100.06,1965,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.75,100.52,1965,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.78,100.58,1965,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,17.01,81.79,1965,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-24.88,152.35,1966,Australia,AUS,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-17.53,146.03,1966,Australia,AUS,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,10.78,106.69,1966,Viet Nam,VNM,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.78,100.56,1966,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,-16.92,145.76,1967,Australia,AUS,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,11.17,78.45,1967,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,12.92,79.14,1967,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.38,99.99,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.71,100.58,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.72,100.46,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.73,100.52,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.75,100.49,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.75,100.55,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.76,100.48,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.77,100.5,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.77,100.53,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.78,100.58,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,13.81,100.52,1967,Thailand,THA,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,14.45,-16.28,1967,Senegal,SEN,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,15.14,76.92,1967,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,17.01,81.79,1967,India,IND,published,point,Kraemer et al. 2015/2017,True
Ae. aegypti,24.55,-81.78,1967,United States of America,USA,published,point,Kraemer et al. 2015/2017,True
