season_length,Ae. aegypti,Ae. albopictus
0,86,42
1,37,33
2,75,80
3,145,145
4,131,513
5,249,128
6,164,33
7,76,29
8,79,37
9,59,45
10,29,20
11,25,17
12,268,301
