city_key,city,country,lat,lon,abs_lat,population,elevation_m,lat_zone,story_tag,season_aegypti,season_start_aegypti,season_end_aegypti,cumulative_aegypti,peak_score_aegypti,bimodal_flag_aegypti,suitability_tier_aegypti,season_albopictus,season_start_albopictus,season_end_albopictus,cumulative_albopictus,peak_score_albopictus,bimodal_flag_albopictus,suitability_tier_albopictus,species_divergence,summer_vpd,altitude_suppressed,tropical_hotspot,invasion_front,mediterranean_pattern,year_round_suitability,emerging_suitability_zone,temperate_albopictus_advantage
"Ogbomoso, Nigeria",Ogbomoso,Nigeria,8.1333,4.25,8.1333,1032000,321.0,Tropics,Tropical Hotspot,12,1.0,12.0,8.96,0.965,False,Extended,12,1.0,12.0,9.058,0.995,False,Extended,0,0.483,False,True,False,False,True,False,False
"Sanya, China",Sanya,China,18.2533,109.5036,18.2533,1031396,19.0,Tropics,Tropical Hotspot,12,1.0,12.0,9.474,0.998,False,Extended,12,1.0,12.0,9.368,0.899,False,Extended,0,0.576,False,True,False,False,True,False,False
"Rangapukur, Bangladesh",Rangapukur,Bangladesh,25.5206,89.2147,25.5206,1031388,31.0,Subtropics,Emerging Suitability,11,2.0,12.0,8.46,0.952,False,Extended,5,4.0,8.0,4.867,0.762,False,Seasonal,-6,0.62,False,False,False,False,False,True,False
"Ashgabat, Turkmenistan",Ashgabat,Turkmenistan,37.9375,58.38,37.9375,1030063,230.0,Subtropics,Standard,2,5.0,9.0,1.348,0.484,False,Marginal,1,5.0,5.0,0.734,0.63,False,Marginal,-1,3.052,False,False,False,False,False,False,False
"Enugu, Nigeria",Enugu,Nigeria,6.5,7.5,6.5,1029400,179.0,Tropics,Tropical Hotspot,12,1.0,12.0,9.306,0.973,False,Extended,12,1.0,12.0,8.944,0.978,False,Extended,0,0.494,False,True,False,False,True,False,False
"Linhai, China",Linhai,China,28.85,121.1167,28.85,1028813,13.0,Subtropics,Mediterranean Pattern,6,5.0,10.0,4.424,0.976,False,Seasonal,4,5.0,8.0,3.691,1.0,True,Seasonal,-2,0.702,False,False,False,True,False,True,False
"Perm, Russia",Perm,Russia,58.0,56.3167,58.0,1026908,123.0,Temperate,Standard,0,,,0.42,0.283,False,Minimal,3,6.0,8.0,1.257,0.548,False,Marginal,3,0.515,False,False,False,False,False,False,False
"Shubrā al Khaymah, Egypt",Shubrā al Khaymah,Egypt,30.1286,31.2422,30.1286,1025569,28.0,Subtropics,Emerging Suitability,8,4.0,11.0,4.493,0.647,False,Seasonal,5,4.0,8.0,2.313,0.6,False,Seasonal,-3,1.809,False,False,False,False,False,True,False
"Monrovia, Liberia",Monrovia,Liberia,6.3133,-10.8014,6.3133,1021762,28.0,Tropics,Tropical Hotspot,12,1.0,12.0,10.894,0.984,False,Extended,12,1.0,12.0,10.688,0.973,False,Extended,0,0.398,False,True,False,False,True,False,False
"Islamabad, Pakistan",Islamabad,Pakistan,33.6931,73.0639,33.6931,1014825,532.0,Subtropics,Standard,6,4.0,10.0,4.342,0.911,False,Seasonal,3,5.0,8.0,1.867,0.646,False,Marginal,-3,1.58,False,False,False,False,False,False,False
"Xinyi, China",Xinyi,China,22.3549,110.9468,22.3549,1013900,89.0,Tropics,Standard,8,4.0,11.0,6.647,0.983,False,Seasonal,9,3.0,11.0,6.808,0.958,True,Extended,1,0.568,False,False,False,False,False,False,False
"Thủ Đức, Vietnam",Thủ Đức,Vietnam,10.8266,106.7609,10.8266,1013795,9.0,Tropics,Tropical Hotspot,12,1.0,12.0,11.034,1.0,False,Extended,12,1.0,12.0,9.025,0.85,False,Extended,0,0.575,False,True,False,False,True,False,False
"Āqchah, Afghanistan",Āqchah,Afghanistan,36.9114,66.1858,36.9114,1012000,294.0,Subtropics,Standard,2,4.0,5.0,1.139,0.356,False,Marginal,0,,,0.332,0.284,False,Minimal,-2,3.645,False,False,False,False,False,False,False
"Odesa, Ukraine",Odesa,Ukraine,46.492,30.7081,46.492,1010537,32.0,Temperate,Invasion Front,3,6.0,8.0,2.168,0.637,False,Marginal,4,5.0,8.0,2.801,0.823,False,Seasonal,1,1.203,False,False,True,False,False,False,True
"Raipur, India",Raipur,India,21.2444,81.6306,21.2444,1010087,300.0,Tropics,Tropical Hotspot,10,1.0,12.0,6.491,0.996,False,Extended,8,1.0,12.0,5.499,0.806,False,Seasonal,-2,1.094,False,True,False,False,False,False,False
"Namangan, Uzbekistan",Namangan,Uzbekistan,41.0011,71.6683,41.0011,1010000,442.0,Temperate,Standard,2,5.0,9.0,1.703,0.46,False,Marginal,1,5.0,5.0,1.083,0.627,False,Marginal,-1,2.556,False,False,False,False,False,False,False
"Changwon, Korea, South",Changwon,"Korea, South",35.2708,128.6631,35.2708,1009998,28.0,Subtropics,Emerging Suitability,4,6.0,9.0,3.269,0.918,False,Seasonal,4,5.0,8.0,3.049,0.945,False,Seasonal,0,0.693,False,False,False,False,False,True,False
"Arequipa, Peru",Arequipa,Peru,-16.3989,-71.5369,16.3989,1008290,2350.0,Tropics,Altitude Protected,0,,,0.0,0.0,False,Minimal,0,,,1.992,0.257,False,Minimal,0,0.402,True,False,False,False,False,False,False
"Tshikapa, Congo (Kinshasa)",Tshikapa,Congo (Kinshasa),-6.4167,20.8,6.4167,1006387,483.0,Tropics,Tropical Hotspot,12,1.0,12.0,9.428,0.886,True,Extended,12,1.0,12.0,10.566,0.998,True,Extended,0,0.588,False,True,False,False,True,False,False
"Volgograd, Russia",Volgograd,Russia,48.7086,44.5147,48.7086,1004763,36.0,Temperate,Mediterranean Pattern,3,6.0,8.0,1.8,0.53,False,Marginal,4,5.0,8.0,2.425,0.675,True,Seasonal,1,1.542,False,False,True,True,False,False,True
"Morelia, Mexico",Morelia,Mexico,19.7683,-101.1894,19.7683,1002461,1938.0,Tropics,Standard,6,4.0,9.0,2.936,0.445,True,Seasonal,10,2.0,11.0,5.63,0.685,False,Seasonal,4,0.643,False,False,False,False,False,False,False
"Kota, India",Kota,India,25.18,75.83,25.18,1001694,229.0,Subtropics,Standard,6,2.0,11.0,4.352,0.92,False,Seasonal,2,7.0,8.0,2.382,0.732,False,Marginal,-4,1.728,False,False,False,False,False,False,False
"Quetta, Pakistan",Quetta,Pakistan,30.1833,67.0,30.1833,1001205,1688.0,Subtropics,Standard,2,7.0,8.0,1.719,0.362,False,Marginal,3,5.0,8.0,1.476,0.38,False,Marginal,1,2.354,False,False,False,False,False,False,False
"Oklahoma City, United States",Oklahoma City,United States,35.4676,-97.5136,35.4676,1000207,383.0,Subtropics,Mediterranean Pattern,5,5.0,9.0,3.405,0.798,True,Seasonal,4,5.0,8.0,2.503,0.802,True,Seasonal,-1,1.492,False,False,False,True,False,True,False
"Bareilly, India",Bareilly,India,28.3667,79.4306,28.3667,1000000,177.0,Subtropics,Standard,6,3.0,11.0,5.094,0.891,False,Seasonal,2,7.0,8.0,1.97,0.634,False,Marginal,-4,1.191,False,False,False,False,False,False,False
"Domaa-Ahenkro, Ghana",Domaa-Ahenkro,Ghana,7.2739,-2.8735,7.2739,1000000,274.0,Tropics,Tropical Hotspot,12,1.0,12.0,9.861,0.998,False,Extended,12,1.0,12.0,9.449,0.985,False,Extended,0,0.592,False,True,False,False,True,False,False
"Liaoyuan, China",Liaoyuan,China,42.888,125.1447,42.888,996903,259.0,Temperate,Invasion Front,3,6.0,8.0,1.987,0.718,False,Marginal,4,5.0,8.0,2.793,0.939,False,Seasonal,1,0.773,False,False,True,False,False,False,True
"Stockholm, Sweden",Stockholm,Sweden,59.3275,18.0547,59.3275,995574,14.0,Temperate,Standard,0,,,0.341,0.204,False,Minimal,2,7.0,8.0,1.15,0.477,False,Marginal,2,0.49,False,False,False,False,False,False,False
"Bordeaux, France",Bordeaux,France,44.84,-0.58,44.84,994920,21.0,Temperate,Invasion Front,3,6.0,8.0,1.884,0.549,False,Marginal,4,5.0,8.0,2.597,0.785,False,Seasonal,1,0.85,False,False,True,False,False,False,True
"Taixing, China",Taixing,China,32.159,120.029,32.159,990200,8.0,Subtropics,Emerging Suitability,5,5.0,9.0,4.135,0.957,False,Seasonal,4,5.0,8.0,3.316,0.995,False,Seasonal,-1,0.745,False,False,False,False,False,True,False
"Lilongwe, Malawi",Lilongwe,Malawi,-13.9669,33.7873,13.9669,989318,1052.0,Tropics,Year-Round Suitability,9,1.0,12.0,5.223,0.642,False,Seasonal,12,1.0,12.0,8.005,0.87,True,Extended,3,0.563,False,False,False,False,True,False,False
"Port-au-Prince, Haiti",Port-au-Prince,Haiti,18.5425,-72.3386,18.5425,987310,27.0,Tropics,Tropical Hotspot,12,1.0,12.0,7.861,0.79,False,Extended,12,1.0,12.0,10.12,0.995,False,Extended,0,0.658,False,True,False,False,True,False,False
"Esenyurt, Turkey",Esenyurt,Turkey,41.0342,28.68,41.0342,983571,127.0,Temperate,Invasion Front,4,6.0,9.0,3.005,0.807,False,Seasonal,4,5.0,8.0,2.959,0.99,False,Seasonal,0,0.827,False,False,True,False,False,False,False
"Pekanbaru, Indonesia",Pekanbaru,Indonesia,0.5092,101.4453,0.5092,983356,16.0,Tropics,Tropical Hotspot,12,1.0,12.0,11.64,0.996,False,Extended,12,1.0,12.0,9.924,0.87,False,Extended,0,0.571,False,True,False,False,True,False,False
"Bogor, Indonesia",Bogor,Indonesia,-6.5966,106.7972,6.5966,982469,263.0,Tropics,Tropical Hotspot,12,1.0,12.0,10.224,0.882,True,Extended,12,1.0,12.0,11.287,0.982,False,Extended,0,0.465,False,True,False,False,True,False,False
"Ciudad Guayana, Venezuela",Ciudad Guayana,Venezuela,8.3667,-62.65,8.3667,978202,40.0,Tropics,Tropical Hotspot,12,1.0,12.0,10.945,0.998,True,Extended,12,1.0,12.0,9.276,0.876,False,Extended,0,0.656,False,True,False,False,True,False,False
"Chiba, Japan",Chiba,Japan,35.6073,140.1064,35.6073,975014,9.0,Subtropics,Emerging Suitability,4,6.0,9.0,3.411,0.912,False,Seasonal,4,5.0,8.0,3.012,0.992,False,Seasonal,0,0.494,False,False,False,False,False,True,False
"Kirkuk, Iraq",Kirkuk,Iraq,35.4667,44.4,35.4667,975000,348.0,Subtropics,Standard,3,4.0,10.0,0.954,0.33,False,Marginal,1,5.0,5.0,0.386,0.312,False,Marginal,-2,4.33,False,False,False,False,False,False,False
"Shuizhai, China",Shuizhai,China,33.4658,114.8753,33.4658,973197,44.0,Subtropics,Emerging Suitability,5,5.0,9.0,4.171,0.971,False,Seasonal,4,5.0,8.0,3.142,0.807,False,Seasonal,-1,0.984,False,False,False,False,False,True,False
"Qianxi, China",Qianxi,China,27.0087,106.0323,27.0087,970700,1220.0,Subtropics,Emerging Suitability,5,5.0,9.0,2.529,0.665,False,Seasonal,4,5.0,8.0,3.51,0.891,False,Seasonal,-1,0.602,False,False,False,False,False,True,False
"Hartford, United States",Hartford,United States,41.7661,-72.6834,41.7661,969171,17.0,Temperate,Invasion Front,3,6.0,8.0,2.045,0.693,False,Marginal,4,5.0,8.0,2.616,0.917,False,Seasonal,1,0.893,False,False,True,False,False,False,True
"Dnipro, Ukraine",Dnipro,Ukraine,48.4675,35.04,48.4675,968502,59.0,Temperate,Invasion Front,3,6.0,8.0,1.82,0.609,False,Marginal,4,5.0,8.0,2.686,0.828,False,Seasonal,1,1.053,False,False,True,False,False,False,True
"Baishan, China",Baishan,China,41.944,126.4147,41.944,968373,470.0,Temperate,Standard,2,7.0,8.0,1.171,0.507,False,Marginal,3,6.0,8.0,1.97,0.749,False,Marginal,1,0.468,False,False,False,False,False,False,False
"Nārāyanganj, Bangladesh",Nārāyanganj,Bangladesh,23.6167,90.5,23.6167,967951,13.0,Subtropics,Emerging Suitability,11,2.0,12.0,9.068,0.963,False,Extended,11,2.0,12.0,6.062,0.699,False,Seasonal,0,0.554,False,False,False,False,False,True,False
"Gqeberha, South Africa",Gqeberha,South Africa,-33.9581,25.6,33.9581,967677,88.0,Subtropics,Emerging Suitability,5,1.0,12.0,3.158,0.546,False,Seasonal,4,1.0,12.0,2.787,0.764,False,Seasonal,-1,0.569,False,False,False,False,False,True,False
"Huilong, China",Huilong,China,31.87,121.703,31.87,967313,2.0,Subtropics,Emerging Suitability,6,5.0,10.0,4.151,0.986,False,Seasonal,4,5.0,8.0,3.157,0.898,False,Seasonal,-2,0.494,False,False,False,False,False,True,False
"Málaga, Spain",Málaga,Spain,36.7194,-4.42,36.7194,967250,21.0,Subtropics,Emerging Suitability,4,6.0,9.0,3.01,0.733,False,Seasonal,4,5.0,8.0,2.95,0.882,False,Seasonal,0,1.129,False,False,False,False,False,True,False
"Marrakech, Morocco",Marrakech,Morocco,31.63,-8.0089,31.63,966987,459.0,Subtropics,Mediterranean Pattern,6,5.0,10.0,3.487,0.617,True,Seasonal,4,5.0,8.0,2.418,0.713,True,Seasonal,-2,1.826,False,False,False,True,False,True,False
"Louisville, United States",Louisville,United States,38.1663,-85.6485,38.1663,965005,174.0,Subtropics,Emerging Suitability,5,5.0,9.0,3.165,0.853,False,Seasonal,4,5.0,8.0,3.201,0.94,False,Seasonal,-1,0.935,False,False,False,False,False,True,False
"Cebu City, Philippines",Cebu City,Philippines,10.32,123.75,10.32,964169,431.0,Tropics,Tropical Hotspot,12,1.0,12.0,10.988,0.992,False,Extended,12,1.0,12.0,8.809,0.815,False,Extended,0,0.738,False,True,False,False,True,False,False
"Asmara, Eritrea",Asmara,Eritrea,15.3358,38.9411,15.3358,963000,2339.0,Tropics,Year-Round Suitability,7,4.0,10.0,3.861,0.464,False,Seasonal,12,1.0,12.0,6.803,0.708,False,Extended,5,1.033,False,False,False,False,True,False,False
"Coimbatore, India",Coimbatore,India,11.0008,76.9633,11.0008,959823,417.0,Tropics,Tropical Hotspot,12,1.0,12.0,8.94,0.905,True,Extended,12,1.0,12.0,9.383,0.984,False,Extended,0,0.693,False,True,False,False,True,False,False
"Maceió, Brazil",Maceió,Brazil,-9.6658,-35.735,9.6658,957916,13.0,Tropics,Tropical Hotspot,12,1.0,12.0,10.534,0.964,False,Extended,12,1.0,12.0,10.954,0.993,False,Extended,0,0.711,False,True,False,False,True,False,False
"Nada, China",Nada,China,19.5209,109.5808,19.5209,954259,143.0,Tropics,Tropical Hotspot,11,2.0,12.0,8.607,0.96,False,Extended,12,1.0,12.0,8.531,0.884,False,Extended,1,0.88,False,True,False,False,True,False,False
"Fangchenggang, China",Fangchenggang,China,21.6867,108.3547,21.6867,953300,2.0,Tropics,Tropical Hotspot,9,3.0,11.0,6.974,0.987,True,Extended,9,3.0,11.0,6.801,0.864,True,Extended,0,0.572,False,True,False,False,False,False,False
"Solāpur, India",Solāpur,India,17.68,75.92,17.68,951558,478.0,Tropics,Tropical Hotspot,9,1.0,12.0,6.352,0.954,False,Extended,9,1.0,12.0,6.076,0.887,False,Extended,0,1.011,False,True,False,False,False,False,False
"Freetown, Sierra Leone",Freetown,Sierra Leone,8.4833,-13.2331,8.4833,951000,110.0,Tropics,Tropical Hotspot,12,1.0,12.0,11.112,0.994,False,Extended,12,1.0,12.0,10.479,0.951,False,Extended,0,0.497,False,True,False,False,True,False,False
